diagnostic,assumed_model,summary,n_selected,n_total,min_abs_error,max_abs_error,min_source,min_id,min_ties,max_source,max_id,max_ties,max_signed_error,source_path
linf,m3,S=4D,449,600,0,2.6990471184473613e-42,m3,0,68,m1,38,1,2.6990471184473613e-42,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/linf/pmp_ambiguity_frame.csv
linf,m4,S=4D,449,600,0,0.067226931462048597,m7,3,20,m5,47,1,-0.067226931462048597,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/linf/pmp_ambiguity_frame.csv
density,m1,S=D,511,600,0,0.78934239875367374,m7,0,50,m8,30,1,-0.78934239875367374,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m2,S=D,511,600,0,0.022331594077932299,m2,0,110,m5,9,1,-0.022331594077932299,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m3,S=D,511,600,0,1,m3,0,100,m8,22,1,1,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m4,S=D,511,600,0,0.85793196046961406,m7,0,50,m8,1,1,-0.85793196046961406,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m1,S=2D,302,600,0,0.0102964020587642,m7,12,4,m1,29,1,0.0102964020587642,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m2,S=2D,302,600,0,2.5867117336986212e-09,m2,0,51,m5,29,1,-2.5867117336986212e-09,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m3,S=2D,302,600,0,1.2395536844823118e-41,m3,0,52,m1,38,1,1.2395536844823118e-41,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m4,S=2D,302,600,0,0.0102964020587642,m7,12,4,m1,29,1,-0.0102964020587642,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m1,S=4D,292,600,2.1125054335083903e-284,0.0181051752808053,m3,16,1,m1,32,1,-0.0181051752808053,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m2,S=4D,292,600,0,4.0136100440654159e-07,m2,0,46,m5,20,1,-4.0136100440654159e-07,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m3,S=4D,292,600,0,3.8940008857005184e-42,m3,0,47,m1,27,1,-3.8940008857005184e-42,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/density/pmp_ambiguity_frame.csv
density,m4,S=4D,292,600,1.0751152424348207e-285,0.018105175280805401,m3,16,1,m1,32,1,0.018105175280805401,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/density/pmp_ambiguity_frame.csv
mmd,m1,S=D,448,600,0,0.024103317115471201,m7,0,50,m9,13,1,-0.024103317115471201,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m2,S=D,448,600,0,8.5402573901660617e-11,m2,0,98,m5,15,1,-8.5402573901660617e-11,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m3,S=D,448,600,0,1.0378300917459626e-41,m3,0,99,m1,27,1,1.0378300917459626e-41,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m4,S=D,448,600,0,0.024103317115471201,m7,0,50,m9,13,1,0.024103317115471201,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_20d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m1,S=2D,418,600,0,0.0124266299718405,m7,0,50,m10,16,1,-0.0124266299718405,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m2,S=2D,418,600,0,3.078386769657794e-13,m2,0,96,m5,32,1,-3.078386769657794e-13,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m3,S=2D,418,600,0,1.2395536844823118e-41,m3,0,100,m1,38,1,1.2395536844823118e-41,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m4,S=2D,418,600,0,0.012426629971840601,m7,0,50,m10,16,1,0.012426629971840601,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_40d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m1,S=4D,398,600,0,0.0182653714137893,m7,0,50,m10,6,1,-0.0182653714137893,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m2,S=4D,398,600,0,1.0291545600627755e-09,m2,0,99,m5,1,1,-1.0291545600627755e-09,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m3,S=4D,398,600,0,3.8940008857005184e-42,m3,0,100,m1,27,1,-3.8940008857005184e-42,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
mmd,m4,S=4D,398,600,0,0.0182653714137892,m7,0,50,m10,6,1,0.0182653714137892,/Users/yimingzang/Documents/Project/benchmark2/benchmark/examples/gaussian/results/ood_80d_10n/diagnostics/mmd/pmp_ambiguity_frame.csv
