run,model,summary,diagnostic,dataset,id,rho,pmp_error,pmp_error_lower_threshold,pmp_error_upper_threshold,classification
run1,m1,S=D,l2,m3_fast_30,s0,0.0771462260212221,-2.3261036633696137e-06,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s1,0.4527465003803316,-6.176366895295816e-50,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s10,-0.043019621090649,-2.3653731652532624e-12,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s11,0.2325017304190504,-8.424444074534353e-35,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s12,-0.2424680697928616,1.120188915415637e-31,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s13,0.4306623473186635,-0.0122153757980665,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,m3_fast_30,s14,0.7394047198332806,1.1442817333018685e-21,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s15,0.6330727140997195,-1.6272874315328868e-25,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s16,0.27199947760327,2.0242535687050316e-06,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s2,0.7010481742721858,1.5555754229648967e-06,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s3,0.1663510952987341,1.7929162174021418e-36,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s4,0.1606719663720413,-4.225364515834713e-06,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s5,0.0859096958598061,-4.369848188561124e-18,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s6,0.4609261751461548,5.571073713876098e-10,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s7,0.7435989773562615,-6.592744953906258e-05,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s8,-0.4830026323299053,-0.0006349707334409,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_30,s9,-0.181540190451595,-8.540747277561306e-07,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,m3_fast_slow_30,s0,1.4542132276424196,-5.4576503675903364e-08,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s1,1.7242999492479776,-1.0911119222542344e-25,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s10,1.8787448220351295,7.537067565822462e-54,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s11,2.026608527448084,-7.909148997952011e-47,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s12,2.356860289194328,-0.045660447648801,-0.0016405874110885,0.001567276906692,TP
run1,m1,S=D,l2,m3_fast_slow_30,s13,1.5671178285302148,-0.0001543654243145,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s14,1.9233732506555428,0.0004464507069635,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s15,1.9718258551775971,-1.725989313599555e-10,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s16,1.1868610957490866,3.1098255584637426e-44,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s2,2.1481928964988803,2.1851717552378608e-61,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s3,1.4861456642631954,0.0007132875994981,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s4,1.286118149536489,-3.58989860065047e-09,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s5,2.4284239394366254,7.333648477050803e-22,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s6,2.136890893283268,1.498430528265934e-32,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s7,1.4358333127638,4.846367942912041e-31,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s8,1.2897085309410463,1.55941564193304e-12,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_fast_slow_30,s9,1.6116883663647732,1.3060546883036538e-13,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s0,2.3418030081021843,-0.0002223389448102,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s1,1.9103335151275016,-4.24627690261546e-21,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s10,2.1553722543457448,-1.5787267442154861e-38,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s11,2.0880016851921988,-5.35415030955364e-46,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s12,1.983614640246928,9.631267384911365e-08,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s13,2.9325448961216254,8.264812991598155e-112,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s14,2.1688597970317685,-1.6783003626324936e-35,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s15,1.7605318954379228,1.161426244212059e-09,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s16,2.805296391054819,2.9609473231550176e-11,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s2,2.1740165319028293,7.150445027358601e-07,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s3,2.1869458233069303,9.356305681652747e-39,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s4,2.2806759789439037,-3.952290676231571e-55,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s5,1.9492894119487336,1.844776764592184e-49,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s6,2.152362375664125,2.935673537119722e-62,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s7,2.324779797340871,3.2701684221688392e-18,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,m3_slow_30,s8,2.3353137926782765,-0.0103316724536405,-0.0016405874110885,0.001567276906692,TP
run1,m1,S=D,l2,m3_slow_30,s9,2.714231767283027,1.029934794396142e-40,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m0,s0,-0.9463040825720332,0.0009779631574678,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s1,0.1567524925895501,-0.0011347017895602,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s10,-0.355308320134537,-0.000575850596842,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s11,-0.4314084084877316,-0.0020322239706872,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m0,s12,0.3469632790822172,9.034911284797054e-05,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s13,-0.4846308696207882,0.0001773369652781,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s14,-0.0490739966763023,-0.0003174086015244,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s15,0.7851749551851214,-9.155181879223068e-05,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s16,-0.0632463424022278,-0.0001924308710331,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s2,0.0953282128926457,0.0002152581219983,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s3,-0.2784966681093889,-0.000743490165264,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s4,-0.3030916015044757,5.4599393803478335e-05,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s5,0.4025640456753939,0.0014738410758707,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s6,-0.0743944616700394,0.000693544939955,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s7,-0.2708152389555779,0.0014935796483736,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s8,-0.0321875589321161,-0.0011955886619319,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m0,s9,-0.3385580186987523,0.0033734804583701,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m1,s0,0.0289848333988463,-0.0005612343482876,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s1,0.1012213918344877,0.0036382171644321,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m1,s10,-0.6237252545958936,0.0009000574345325,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s11,1.2992417918485362,-0.0311240845172384,-0.0016405874110885,0.001567276906692,TP
run1,m1,S=D,l2,simulated_from_m1,s12,0.5882813419694872,-0.0001668511145782,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s13,0.0596474033654278,-0.00016918520036,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s14,0.1622279928649545,0.0009491266580067,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s15,-0.3853059875232905,3.428623005286014e-06,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s16,-0.3080606118534132,0.0001173182731839,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s2,1.060564823364234,-0.0067381021643512,-0.0016405874110885,0.001567276906692,TP
run1,m1,S=D,l2,simulated_from_m1,s3,-0.1191687323442049,7.29568938444558e-05,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s4,0.143242956441464,0.0004658513620655,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s5,-0.520819830790225,0.0003312590677853,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s6,0.235444403794544,0.0036275800128862,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m1,s7,-0.1228373366531412,-0.0001339768969077,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s8,-0.4820793408264622,-0.0003841287994151,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m1,s9,0.3673664418243608,-0.0018753184423625,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m2,s0,1.7767131287255518,-6.299405264017455e-63,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m2,s1,1.0781542143994831,1.2037867985145596e-44,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m2,s10,0.8448492395719283,1.0863953289987091e-47,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s11,-0.1906531459103113,5.889416726590767e-15,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s12,-0.0286948225953805,-0.0014054735208818,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s13,0.5204928709089408,4.345901526240189e-36,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s14,-0.4566757907642612,0.0009880763990991,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s15,1.9306069051569963,-5.159881952922721e-38,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m2,s16,-0.1121032346096063,4.6814319113751187e-07,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s2,0.5742241890198895,1.8429036537360408e-11,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s3,1.418782816667293,-1.720931774521845e-34,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m2,s4,-0.0155991707228612,2.0260196377103277e-14,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s5,-0.8282989273107838,4.349606173588177e-12,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s6,1.045118445205406,-2.648329693772647e-23,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m2,s7,0.5191397792072705,-0.0002329252241181,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s8,0.3962110858853077,1.7835785747825072e-20,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m2,s9,0.8891197654509138,-0.0038776032236706,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m3,s0,1.398924882101967,1.7143634049399734e-21,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m3,s1,0.6659713951267474,9.663467088882665e-23,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s10,0.7372261651220682,-1.3316063785809456e-78,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s11,-0.0379601218465815,-1.2871171397338236e-05,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s12,0.014891248049981,-5.727729677829042e-35,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s13,0.6913042654942347,-1.911425251232345e-44,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s14,0.1927362976392145,-3.874288292918821e-15,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s15,-0.3124854850913367,-8.97174780543301e-25,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s16,2.398460709646979,0.0009772131661755,-0.0016405874110885,0.001567276906692,FP
run1,m1,S=D,l2,simulated_from_m3,s2,1.555286333711383,0.0148088326671326,-0.0016405874110885,0.001567276906692,TP
run1,m1,S=D,l2,simulated_from_m3,s3,0.3973975544676497,0.002051524159008,-0.0016405874110885,0.001567276906692,FN
run1,m1,S=D,l2,simulated_from_m3,s4,-0.3568833115631348,8.605841329384412e-12,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s5,0.1253961907959739,-4.144084664973088e-37,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s6,-0.6879830033036672,-6.279308054280255e-12,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s7,0.5204819348492726,3.823151586574845e-35,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s8,0.3305086577481435,4.097436339608183e-15,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=D,l2,simulated_from_m3,s9,0.3451412874791389,-1.8417635320386517e-25,-0.0016405874110885,0.001567276906692,TN
run1,m1,S=2D,l2,m3_fast_30,s0,0.0163831054031133,-5.461108742048685e-07,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s1,1.270665168452458,2.913999434140161e-50,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_30,s10,0.4615984535069299,4.018084416755573e-12,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s11,0.8661017461798209,-4.10056841891253e-35,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s12,1.664372238209769,-7.284935182808535e-30,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_30,s13,0.5022509279299677,-0.0019613713576698,-0.0012848800783843,0.0012131901395627,FN
run1,m1,S=2D,l2,m3_fast_30,s14,1.0045824021093752,3.143859649997452e-21,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_30,s15,0.513130911421859,1.296228149147002e-24,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s16,0.4564500008811543,5.275849059274278e-07,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s2,0.4157476437893139,1.339767354945633e-06,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s3,1.4970882796046698,1.8041624893487708e-35,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_30,s4,0.2183131874604832,-1.1895970262459326e-05,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s5,1.3803832389663786,1.3230993060971949e-17,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_30,s6,0.8205092724677074,1.7176358860473868e-10,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s7,0.3898213362682998,-2.3687856266181568e-05,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s8,-0.0104407419043766,-0.0004782339142312,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_30,s9,0.2818060258600978,-1.8969929621819913e-06,-0.0012848800783843,0.0012131901395627,TN
run1,m1,S=2D,l2,m3_fast_slow_30,s0,1.974652484904604,2.874629258248956e-08,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s1,2.8787290553723515,-6.006700929491344e-27,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s10,2.782629894854343,3.2987841682294353e-52,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s11,2.3409865634248863,-9.95700325656768e-47,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s12,2.8908193470767647,-0.0371337100695657,-0.0012848800783843,0.0012131901395627,TP
run1,m1,S=2D,l2,m3_fast_slow_30,s13,1.897855757387643,-0.0001016475853822,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s14,2.2051078439087664,-0.0004344042918597,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s15,2.3848773194952675,-1.1767074132041772e-10,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s16,1.801936453490857,2.734134930615811e-44,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s2,2.4866737491543267,8.224941123452411e-61,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s3,1.883902907028277,0.0001810093966112,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s4,1.746199143607281,-2.8075739926163775e-09,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s5,2.307448726343048,1.9117048502354816e-21,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s6,2.7772918340432264,-5.5007589054488064e-33,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s7,2.3981916832461323,4.707908033562808e-31,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s8,2.007520056931694,8.659765325350105e-13,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_fast_slow_30,s9,2.3517375989084637,3.775325198229667e-13,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s0,2.2447364381178065,-4.2110480357327416e-05,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s1,2.8182637462311466,-9.61425038841568e-20,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s10,2.794655924744521,1.9721859371225636e-37,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s11,3.2985246897799683,-5.3516884559337776e-46,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s12,2.637934524219516,-5.901255626938909e-08,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s13,4.155201896528005,-2.5553774720096577e-115,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s14,2.05530533952025,-1.0198406216436335e-34,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s15,1.5343879679925674,-8.644901130778374e-10,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s16,2.457108173960521,-8.889835516740332e-12,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s2,2.1795734614186815,-5.597690948576463e-07,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s3,3.0046879207418025,6.70689653591095e-39,-0.0012848800783843,0.0012131901395627,FP
run1,m1,S=2D,l2,m3_slow_30,s4,3.0456933577325263,-1.1402078759140507e-54,-0.0012848800783843,0.0012131901395627,FP
