run,model,summary,diagnostic,scope,n,TP,FP,FN,TN,FNR,FPR,q05,q95
run2,m1,S=D,linf,nonempirical,119,5,38,8,68,61.53846153846154,35.84905660377358,-0.0021464317339203,0.0019121741140353
run2,m1,S=D,density,nonempirical,119,2,57,11,49,84.61538461538461,53.77358490566038,-0.0021464317339203,0.0019121741140353
run2,m1,S=D,mmd,nonempirical,119,2,20,11,86,84.61538461538461,18.867924528301888,-0.0021464317339203,0.0019121741140353
run2,m1,S=2D,l2,nonempirical,119,5,43,7,64,58.333333333333336,40.18691588785047,-0.0013068645152804,0.0012253234488288
run2,m1,S=2D,linf,nonempirical,119,4,45,8,62,66.66666666666667,42.05607476635514,-0.0013068645152804,0.0012253234488288
run2,m1,S=2D,density,nonempirical,119,5,74,7,33,58.333333333333336,69.1588785046729,-0.0013068645152804,0.0012253234488288
run2,m1,S=2D,mmd,nonempirical,119,5,32,7,75,58.333333333333336,29.90654205607477,-0.0013068645152804,0.0012253234488288
run2,m1,S=4D,l2,nonempirical,119,5,60,6,48,54.54545454545455,55.55555555555556,-0.0015090402190796,0.0015090402190797
run2,m1,S=4D,linf,nonempirical,119,5,56,6,52,54.54545454545455,51.851851851851855,-0.0015090402190796,0.0015090402190797
run2,m1,S=4D,density,nonempirical,119,5,75,6,33,54.54545454545455,69.44444444444444,-0.0015090402190796,0.0015090402190797
run2,m1,S=4D,mmd,nonempirical,119,4,22,7,86,63.63636363636363,20.37037037037037,-0.0015090402190796,0.0015090402190797
run2,m3,S=D,l2,nonempirical,119,17,25,38,39,69.0909090909091,39.0625,-2.200117524190807e-05,7.021628855742197e-05
run2,m3,S=D,linf,nonempirical,119,14,25,41,39,74.54545454545455,39.0625,-2.200117524190807e-05,7.021628855742197e-05
run2,m3,S=D,density,nonempirical,119,13,26,42,38,76.36363636363636,40.625,-2.200117524190807e-05,7.021628855742197e-05
run2,m3,S=D,mmd,nonempirical,119,11,21,44,43,80.0,32.8125,-2.200117524190807e-05,7.021628855742197e-05
run2,m3,S=2D,l2,nonempirical,119,13,24,46,36,77.96610169491525,40.0,-2.983212408189146e-05,1.8068972458550884e-05
run2,m3,S=2D,linf,nonempirical,119,13,24,46,36,77.96610169491525,40.0,-2.983212408189146e-05,1.8068972458550884e-05
run2,m3,S=2D,density,nonempirical,119,17,34,42,26,71.1864406779661,56.666666666666664,-2.983212408189146e-05,1.8068972458550884e-05
run2,m3,S=2D,mmd,nonempirical,119,10,20,49,40,83.05084745762711,33.333333333333336,-2.983212408189146e-05,1.8068972458550884e-05
run2,m3,S=4D,l2,nonempirical,119,16,25,38,40,70.37037037037037,38.46153846153846,-3.558915185879222e-05,3.0602574957110164e-05
run2,m3,S=4D,linf,nonempirical,119,14,25,40,40,74.07407407407408,38.46153846153846,-3.558915185879222e-05,3.0602574957110164e-05
run2,m3,S=4D,density,nonempirical,119,18,33,36,32,66.66666666666667,50.76923076923077,-3.558915185879222e-05,3.0602574957110164e-05
run2,m3,S=4D,mmd,nonempirical,119,15,20,39,45,72.22222222222223,30.76923076923077,-3.558915185879222e-05,3.0602574957110164e-05
