run,model,summary,diagnostic,n,TP,FP,FN,TN,n_positive,n_negative,FNR,FPR,AUC,q05,q95,min_error,max_error,max_gold_pmp
run1,m1,S=D,linf,17,5,4,7,1,12,5,58.333333333333336,80.0,23.333333333333332,-0.0016405874110885,0.001567276906692,-0.2205006740345429,0.3433318237733027,0.9799324942712744
run1,m1,S=D,density,17,8,3,4,2,12,5,33.333333333333336,60.0,33.33333333333333,-0.0016405874110885,0.001567276906692,-0.2205006740345429,0.3433318237733027,0.9799324942712744
run1,m1,S=D,mmd,17,0,0,12,5,12,5,100.0,0.0,41.66666666666667,-0.0016405874110885,0.001567276906692,-0.2205006740345429,0.3433318237733027,0.9799324942712744
run1,m1,S=2D,l2,17,7,3,6,1,13,4,46.15384615384615,75.0,38.46153846153846,-0.0012848800783843,0.0012131901395627,-0.1153138775211027,0.2740912421665094,0.9799324942712744
run1,m1,S=2D,linf,17,6,4,7,0,13,4,53.84615384615385,100.0,25.0,-0.0012848800783843,0.0012131901395627,-0.1153138775211027,0.2740912421665094,0.9799324942712744
run1,m1,S=2D,density,17,8,4,5,0,13,4,38.46153846153846,100.0,0.0,-0.0012848800783843,0.0012131901395627,-0.1153138775211027,0.2740912421665094,0.9799324942712744
run1,m1,S=2D,mmd,17,2,0,11,4,13,4,84.61538461538461,0.0,61.53846153846154,-0.0012848800783843,0.0012131901395627,-0.1153138775211027,0.2740912421665094,0.9799324942712744
run1,m1,S=4D,l2,17,6,6,5,0,11,6,45.45454545454545,100.0,15.151515151515149,-0.0013253276273652,0.0013253276273652,-0.2697988626677532,0.624258082733566,0.9799324942712744
run1,m1,S=4D,linf,17,5,6,6,0,11,6,54.54545454545455,100.0,7.575757575757574,-0.0013253276273652,0.0013253276273652,-0.2697988626677532,0.624258082733566,0.9799324942712744
run1,m1,S=4D,density,17,9,5,2,1,11,6,18.181818181818183,83.33333333333333,15.151515151515149,-0.0013253276273652,0.0013253276273652,-0.2697988626677532,0.624258082733566,0.9799324942712744
run1,m1,S=4D,mmd,17,1,1,10,5,11,6,90.9090909090909,16.666666666666668,42.42424242424242,-0.0013253276273652,0.0013253276273652,-0.2697988626677532,0.624258082733566,0.9799324942712744
run1,m2,S=D,l2,17,0,13,0,4,0,17,,76.47058823529412,,-0.0026643363273066,0.0019357242871687,-0.0014896239464243,8.410220235731396e-09,0.0017498786745662
run1,m2,S=D,linf,17,0,9,0,8,0,17,,52.94117647058823,,-0.0026643363273066,0.0019357242871687,-0.0014896239464243,8.410220235731396e-09,0.0017498786745662
run1,m2,S=D,density,17,0,10,0,7,0,17,,58.8235294117647,,-0.0026643363273066,0.0019357242871687,-0.0014896239464243,8.410220235731396e-09,0.0017498786745662
run1,m2,S=D,mmd,17,0,0,0,17,0,17,,0.0,,-0.0026643363273066,0.0019357242871687,-0.0014896239464243,8.410220235731396e-09,0.0017498786745662
run1,m2,S=2D,l2,17,0,3,0,14,0,17,,17.647058823529413,,-0.0022051924425418,0.0018746384175158,-0.0003569245713411,2.6771406350960276e-09,0.0017498786745662
run1,m2,S=2D,linf,17,0,10,0,7,0,17,,58.8235294117647,,-0.0022051924425418,0.0018746384175158,-0.0003569245713411,2.6771406350960276e-09,0.0017498786745662
run1,m2,S=2D,density,17,0,17,0,0,0,17,,100.0,,-0.0022051924425418,0.0018746384175158,-0.0003569245713411,2.6771406350960276e-09,0.0017498786745662
run1,m2,S=2D,mmd,17,0,2,0,15,0,17,,11.764705882352942,,-0.0022051924425418,0.0018746384175158,-0.0003569245713411,2.6771406350960276e-09,0.0017498786745662
run1,m2,S=4D,l2,17,0,8,0,9,0,17,,47.05882352941177,,-0.0017601095153351,0.0019094254517449,-0.0009357977870342,9.085928665549507e-12,0.0017498786745662
run1,m2,S=4D,linf,17,0,9,0,8,0,17,,52.94117647058823,,-0.0017601095153351,0.0019094254517449,-0.0009357977870342,9.085928665549507e-12,0.0017498786745662
run1,m2,S=4D,density,17,0,17,0,0,0,17,,100.0,,-0.0017601095153351,0.0019094254517449,-0.0009357977870342,9.085928665549507e-12,0.0017498786745662
run1,m2,S=4D,mmd,17,0,2,0,15,0,17,,11.764705882352942,,-0.0017601095153351,0.0019094254517449,-0.0009357977870342,9.085928665549507e-12,0.0017498786745662
run1,m3,S=D,l2,17,10,3,4,0,14,3,28.571428571428573,100.0,47.61904761904763,-2.1057395365146717e-05,0.0001551607952634,-0.3433318237733027,0.2205006740345318,0.99999999994819
run1,m3,S=D,linf,17,3,2,11,1,14,3,78.57142857142857,66.66666666666667,26.190476190476193,-2.1057395365146717e-05,0.0001551607952634,-0.3433318237733027,0.2205006740345318,0.99999999994819
run1,m3,S=D,density,17,3,2,11,1,14,3,78.57142857142857,66.66666666666667,19.04761904761905,-2.1057395365146717e-05,0.0001551607952634,-0.3433318237733027,0.2205006740345318,0.99999999994819
run1,m3,S=D,mmd,17,0,0,14,3,14,3,100.0,0.0,35.714285714285715,-2.1057395365146717e-05,0.0001551607952634,-0.3433318237733027,0.2205006740345318,0.99999999994819
run1,m3,S=2D,l2,17,0,1,15,1,15,2,100.0,50.0,23.333333333333332,-3.241884120067353e-05,1.0922668679607744e-05,-0.2740912421665094,0.1153138775211056,0.99999999994819
run1,m3,S=2D,linf,17,1,0,14,2,15,2,93.33333333333331,0.0,13.333333333333334,-3.241884120067353e-05,1.0922668679607744e-05,-0.2740912421665094,0.1153138775211056,0.99999999994819
run1,m3,S=2D,density,17,8,2,7,0,15,2,46.666666666666664,100.0,6.666666666666667,-3.241884120067353e-05,1.0922668679607744e-05,-0.2740912421665094,0.1153138775211056,0.99999999994819
run1,m3,S=2D,mmd,17,0,0,15,2,15,2,100.0,0.0,33.333333333333336,-3.241884120067353e-05,1.0922668679607744e-05,-0.2740912421665094,0.1153138775211056,0.99999999994819
run1,m3,S=4D,l2,17,6,1,8,2,14,3,57.142857142857146,33.333333333333336,35.71428571428572,-8.880142746641938e-05,1.4711300834054452e-05,-0.624258082733566,0.2697988626677416,0.99999999994819
run1,m3,S=4D,linf,17,5,2,9,1,14,3,64.28571428571429,66.66666666666667,28.571428571428577,-8.880142746641938e-05,1.4711300834054452e-05,-0.624258082733566,0.2697988626677416,0.99999999994819
run1,m3,S=4D,density,17,12,3,2,0,14,3,14.285714285714286,100.0,16.666666666666668,-8.880142746641938e-05,1.4711300834054452e-05,-0.624258082733566,0.2697988626677416,0.99999999994819
run1,m3,S=4D,mmd,17,2,1,12,2,14,3,85.71428571428571,33.333333333333336,35.714285714285715,-8.880142746641938e-05,1.4711300834054452e-05,-0.624258082733566,0.2697988626677416,0.99999999994819
run2,m0,S=D,l2,17,0,14,0,3,0,17,,82.3529411764706,,-0.0058695935021064,0.0047342163930711,-3.717049034793237e-15,8.095283353558217e-06,8.41265030394665e-08
run2,m0,S=D,linf,17,0,16,0,1,0,17,,94.11764705882354,,-0.0058695935021064,0.0047342163930711,-3.717049034793237e-15,8.095283353558217e-06,8.41265030394665e-08
run2,m0,S=D,density,17,0,11,0,6,0,17,,64.70588235294117,,-0.0058695935021064,0.0047342163930711,-3.717049034793237e-15,8.095283353558217e-06,8.41265030394665e-08
run2,m0,S=D,mmd,17,0,1,0,16,0,17,,5.882352941176471,,-0.0058695935021064,0.0047342163930711,-3.717049034793237e-15,8.095283353558217e-06,8.41265030394665e-08
run2,m0,S=2D,l2,17,0,17,0,0,0,17,,100.0,,-0.0048948521337668,0.0048765464577622,-2.3673974961571908e-08,1.416126931549499e-09,8.41265030394665e-08
run2,m0,S=2D,linf,17,0,17,0,0,0,17,,100.0,,-0.0048948521337668,0.0048765464577622,-2.3673974961571908e-08,1.416126931549499e-09,8.41265030394665e-08
run2,m0,S=2D,density,17,0,17,0,0,0,17,,100.0,,-0.0048948521337668,0.0048765464577622,-2.3673974961571908e-08,1.416126931549499e-09,8.41265030394665e-08
run2,m0,S=2D,mmd,17,0,7,0,10,0,17,,41.1764705882353,,-0.0048948521337668,0.0048765464577622,-2.3673974961571908e-08,1.416126931549499e-09,8.41265030394665e-08
run2,m0,S=4D,l2,17,0,16,0,1,0,17,,94.11764705882354,,-0.0037255935612074,0.0035128941417912,-1.8228386761068917e-08,9.5433343381131e-11,8.41265030394665e-08
run2,m0,S=4D,linf,17,0,14,0,3,0,17,,82.3529411764706,,-0.0037255935612074,0.0035128941417912,-1.8228386761068917e-08,9.5433343381131e-11,8.41265030394665e-08
run2,m0,S=4D,density,17,0,17,0,0,0,17,,100.0,,-0.0037255935612074,0.0035128941417912,-1.8228386761068917e-08,9.5433343381131e-11,8.41265030394665e-08
run2,m0,S=4D,mmd,17,0,9,0,8,0,17,,52.94117647058823,,-0.0037255935612074,0.0035128941417912,-1.8228386761068917e-08,9.5433343381131e-11,8.41265030394665e-08
run2,m1,S=D,l2,17,11,4,2,0,13,4,15.384615384615383,100.0,23.076923076923077,-0.0021464317339203,0.0019121741140353,-0.1952110366895905,0.2847966307137362,0.9799324942712744
run2,m1,S=D,linf,17,13,4,0,0,13,4,0.0,100.0,25.0,-0.0021464317339203,0.0019121741140353,-0.1952110366895905,0.2847966307137362,0.9799324942712744
run2,m1,S=D,density,17,7,3,6,1,13,4,46.15384615384615,75.0,30.76923076923077,-0.0021464317339203,0.0019121741140353,-0.1952110366895905,0.2847966307137362,0.9799324942712744
run2,m1,S=D,mmd,17,2,1,11,3,13,4,84.61538461538461,25.0,36.53846153846153,-0.0021464317339203,0.0019121741140353,-0.1952110366895905,0.2847966307137362,0.9799324942712744
run2,m1,S=2D,l2,17,3,2,10,2,13,4,76.92307692307692,50.0,15.384615384615383,-0.0013068645152804,0.0012253234488288,-0.1372156923863117,0.152279793734161,0.9799324942712744
run2,m1,S=2D,linf,17,10,4,3,0,13,4,23.076923076923077,100.0,17.307692307692307,-0.0013068645152804,0.0012253234488288,-0.1372156923863117,0.152279793734161,0.9799324942712744
run2,m1,S=2D,density,17,10,4,3,0,13,4,23.076923076923077,100.0,0.0,-0.0013068645152804,0.0012253234488288,-0.1372156923863117,0.152279793734161,0.9799324942712744
run2,m1,S=2D,mmd,17,0,0,13,4,13,4,100.0,0.0,50.0,-0.0013068645152804,0.0012253234488288,-0.1372156923863117,0.152279793734161,0.9799324942712744
run2,m1,S=4D,l2,17,11,4,2,0,13,4,15.384615384615383,100.0,9.615384615384617,-0.0015090402190796,0.0015090402190797,-0.1020697824454545,0.586969078976434,0.9799324942712744
run2,m1,S=4D,linf,17,8,4,5,0,13,4,38.46153846153846,100.0,5.769230769230769,-0.0015090402190796,0.0015090402190797,-0.1020697824454545,0.586969078976434,0.9799324942712744
run2,m1,S=4D,density,17,13,4,0,0,13,4,0.0,100.0,0.0,-0.0015090402190796,0.0015090402190797,-0.1020697824454545,0.586969078976434,0.9799324942712744
run2,m1,S=4D,mmd,17,2,0,11,4,13,4,84.61538461538461,0.0,28.846153846153843,-0.0015090402190796,0.0015090402190797,-0.1020697824454545,0.586969078976434,0.9799324942712744
run2,m2,S=D,l2,17,1,11,0,5,1,16,0.0,68.75,100.0,-0.0034887290096236,0.0034876769462379,-3.721145632715853e-14,0.0470428444042333,0.0017498786745662
run2,m2,S=D,linf,17,1,4,0,12,1,16,0.0,25.0,100.0,-0.0034887290096236,0.0034876769462379,-3.721145632715853e-14,0.0470428444042333,0.0017498786745662
run2,m2,S=D,density,17,1,10,0,6,1,16,0.0,62.5,100.0,-0.0034887290096236,0.0034876769462379,-3.721145632715853e-14,0.0470428444042333,0.0017498786745662
run2,m2,S=D,mmd,17,1,1,0,15,1,16,0.0,6.25,100.0,-0.0034887290096236,0.0034876769462379,-3.721145632715853e-14,0.0470428444042333,0.0017498786745662
run2,m2,S=2D,l2,17,0,8,0,9,0,17,,47.05882352941177,,-0.0013648266160676,0.0013934071088093,-0.0010083553162572,3.6418579300262764e-09,0.0017498786745662
run2,m2,S=2D,linf,17,0,17,0,0,0,17,,100.0,,-0.0013648266160676,0.0013934071088093,-0.0010083553162572,3.6418579300262764e-09,0.0017498786745662
